,Year Published,Book Title
185,2012,"Pro JavaFX 2 [electronic resource] : a definitive guide to rich clients with Java technology / James L. Weaver ... [et al.] ; technical reviewer, Carl Dea."
186,2012,"Pro Silverlight 5 in C#, fourth edition [electronic resource] / Matthew MacDonald ; technical reviewer, Fabio Claudio Ferracchiati."
187,2012,Mac application development for dummies [electronic resource] / Karl G. Kowalski.
188,2012,"iPhone application development for dummies, 4th edition [electronic resource] / Neal Goldstein."
189,2012,"Beginning PhoneGap [electronic resource] / Thomas Myer ; technical editors, Brian Leroux, Danny Lowe."
190,2009,"Pro Android media [electronic resource] : developing graphics, music, video, and rich media apps for smartphones and tablets / Shawn Van Every ; technical reviewers, Steve Bull, Wallace Jackson."
191,2009,"More iPhone 3 development [electronic resource] : tackling iPhone SDK 3 / Dave Mark, Jeff LaMarche ; technical reviewer, Mark Dalrymple."
192,2009,Advanced BlackBerry development [electronic resource] / Chris King.
193,2009,"Beginning BlackBerry development [electronic resource] / Anthony Rizk ; technical reviewer, Paul Dumais."
194,2009,"AdvancED Flash on devices [electronic resource] : mobile development with Flash Lite and Flash 10 / Elad Elrom, Scott Janousek, and Thomas Joos ; technical reviewer, Nancy Nicolaisen."
195,2011,Building applications for the Mac App store [electronic resource] / by [Wei-Meng Lee].
196,2011,Flash mobile [electronic resource] : developing Android and iOS applications / Matthew David.
197,2011,"JavaFX 2.0 [electronic resource] : introduction by example / Carl Dea ; technical reviewer, David Coffin."
198,2011,"Pro Windows Phone app development, second edition [electronic resource] / Rob Cameron ; technical reviewer, Rob Garrett."
199,2011,"Practical Android 4 games development [electronic resource] / J.F. DiMarzio ; technical reviewers, Yosun Chang, Tony Hillerson."
200,2011,"Windows phone recipes [electronic resource] : a problem-solution approach, second edition / Fabio Claudio Ferracchiati, Emanuele Garofalo ; technical reviewer, Simona Nasetti."
201,2011,"Beginning OS X Lion apps development [electronic resource] / Michael Privat, Robert Warner ; technical reviewer, James Bucanek."
202,2011,"Applied ASP .NET 4 in context [electronic resource] / Adam Freeman ; technical reviewer, Fabio Claudio Ferracchiati."
203,2011,"Windows Phone 7 application development for dummies [electronic resource] / Bill Hughes, Indrajit Chakrabarty."
204,2011,"HTML, CSS & JavaScript mobile development for dummies [electronic resource] / William Harrel."
205,2011,"Beginning Windows Phone 7 development, second edition [electronic resource] / Henry Lee, Eugene Chuvyrov ; technical reviewer, Fabio Claudio Ferracchiati."
206,2011,"Pro Android Python with SL4A [electronic resource] / Paul Ferrill ; technical reviewer, Justin Grammens."
207,2011,"Beginning Android games [electronic resource] / Mario Zechner ; technical reviewer, Robert Green."
208,2011,"Android recipes [electronic resource] : a problem-solution approach / Dave Smith, Jeff Friesen ; technical reviewer, Paul Connolly."
209,2011,Foundation HTML5 Canvas [electronic resource] : for games and entertainment / Rob Hawkes ; technical reviewer: Doug Swartzendruber.
210,2011,"Oracle Application Express 4.0 with Ext JS [electronic resource] / Mark Lancaster ; reviewer, Vincent Stanislaus."
211,2011,"Android apps for absolute beginners [electronic resource] / Wallace Jackson ; technical reviewer, Kunal Mittal."
212,2011,"Web application obfuscation [electronic resource] : '-/WAFs..Evasion..Filters//alert (/Obfuscation/)-' / Mario Heiderich ... [et al.] ; technical editor, Carl Sampson."
213,2011,"Pro Android Web apps [electronic resource] : develop for Android using HTML5, CSS3 & JavaScript / Damon Oehlman, Sébastien Blanc ; technical reviewer, Kunal Mittal."
214,2011,"Mastering XPages [electronic resource] : a step-by-step guide to XPages application development and the XSP language / Martin Donnelly, Mark Wallace, Tony McGuckin."
215,2011,"Windows phone 7 application development [electronic resource] : 24-hour trainer / Brian Faucher ; technical editor, Gina Northover-Moore."
216,2011,"Professional Windows phone 7 application development [electronic resource] : building applications and games using Visual Studio, Silverlight, and XNA / Nick Randolph, Christopher Fairbairn ; technical editor, Scott Spradlin."
217,2011,"Professional mobile web development with WordPress, Joomla!, and Drupal [electronic resource] / James Pearce ; technical editor, Doug Vann."
218,2011,Windows phone 7 for dummies [electronic resource] / Bill Hughes.
219,2011,"iPad application development for dummies, 2nd edition [electronic resource] / Neal Goldstein, Tony Bove."
220,2011,"Android application development for dummies [electronic resource] / Donn Felker, Joshua Dobbs."
221,2011,Iphone application development : strategies for efficient mobile design and delivery / Jim Hahn.
222,2010,"Beginning iPad application development [electronic resource] / Wei-Meng Lee ; technical editor, Trent Shumay."
223,2010,Flex 4 fun [electronic resource] / Chet Haase.
224,2010,"Pro Silverlight 4 in C#, updated [electronic resource] / Matthew MacDonald ; technical reviewer, Fabio Claudio Ferracchiati."
225,2010,"Oracle APEX 4.0 cookbook [electronic resource] / Marcel van der Plas, Michel van Zoest ; reviewers, Dimitri Gielis, Surachart Opun."
226,2010,"iPhone application development for dummies, 3rd edition [electronic resource] / Neal Goldstein."
227,2010,"iPhone application development all-in-one for dummies [electronic resource] / Neal Goldstein, Tony Bove."
228,2010,Flash Catalyst CS5 bible [electronic resource] / Rob Huddleston.
229,2010,Flash Builder 4 and Flex 4 bible [electronic resource] / David Gassner.
230,2010,Cocoa Touch for iPhone OS 3 [electronic resource] / Jiva DeVoe.
231,2010,Cocoa [electronic resource] / Richard Wentk.
232,2010,Android development with Flash [electronic resource] : your visual blueprint for developing mobile apps / Julian Dolce.
233,2010,"Beginning iPhone and iPad Web apps [electronic resource] : scripting with HTML5, CSS3, and JavaScript / Chris Apers, Daniel Paterson ; technical reviewer, Paul Haine."
234,2010,"Beginning Windows Phone 7 development [electronic resource] / Henry Lee and Eugene Chuvyrov ; technical reviewer, Stefan Turalski."
235,2010,"Google App Engine Java and GWT application development [electronic resource] : build powerful, scalable, and interactive Web applications in the cloud / Daniel Guermeur, Amy Unruh ; reviewers, Dom Derrien ... [et al.]."
236,2010,"JavaFX 1.2 application development cookbook [electronic resource] : over 80 recipes to create rich Internet applications with many exciting features / Vladimir Vivien ; reviewers, Anghel Leonard, Luca Masini, Meenakshi Verma."
237,2010,"Microsoft Windows Communication Foundation 4.0 cookbook for developing SOA applications [electronic resource] / Steven Cheng ; reviewer, Frank Xu Lei, Dong Qi, Kris van der Mast."
238,2010,"Beginning JavaFX [electronic resource] / Lawrence PremKumar, Praveen Mohan ; technical reviewer, Sten Anderson."
239,2010,"Beginning Java EE 6 platform with GlassFish 3 [electronic resource] : from novice to professional, second edition / Antonio Goncalves ; technical reviewer, Jim Farley."
240,2010,"The essential guide to Flash Builder and Flash Catalyst [electronic resource] : the new workflow / Steven Peeters ; foreword by Peter Elst ; technical reviewer, Peter Elst."
241,2010,"AdvancED Flex 4 [electronic resource] / Shashank Tiwari, Elad Elrom, Charlie Schulze ; technical reviewer, Tom Barker."
242,2010,"Taking your iPad to the max [electronic resource] / Steve Sande, Michael Grothaus ; technical reviewer, Erica Sadun."
243,2010,"ColdFusion 9 developer tutorial [electronic resource] / John Farrar ; reviewers, Rick Mason, Tracy Charles Smith."
244,2010,"The business of iPhone app development [electronic resource] : making and marketing apps that succeed / Dave Wooldridge with Michael Schneider ; technical reviewer, Mark Johnson."
245,2010,"Pro PHP and jQuery [electronic resource] / Jason Lengstorf ; technical reviewer, Robert Banh."
246,2010,"Building iPhone OS accessories [electronic resource] : use the iPhone Accessories API to control and monitor devices / Ken Maskrey ; technical reviewer, Dean Kaplan."
247,2010,"Learn Cocoa on the Mac [electronic resource] / Jack Nutting, Dave Mark and Jeff LaMarche ; technical reviewer, Mark Dalrymple."
248,2010,Professional IronPython [electronic resource] / John Paul Mueller ; technical editor: Russ Mullen.
249,2010,"Professional Cocoa application security [electronic resource] / Graham J. Lee ; technical editor, James Lyne."
250,2010,iPad application development for dummies [electronic resource] / by Neal Goldstein and Tony Bove.
251,2010,"Introducing .NET 4.0 [electronic resource] : with Visual Studio 2010 / Alex Mackey ; technical reviewer, Stefan Turalski."
252,2010,"Professional Oracle WebLogic server [electronic resource] / Robert Patrick ... [et al.] ; technical editors, Prasanth Pallamreddy ... [et al.]."
253,2010,"Professional [electronic resource] : Cairngorm / Jeremy Wischusen ; technical editor, Jeffry Houser."
254,2009,Pro Silverlight 3 in VB [electronic resource] / Matthew MacDonald ; technical reviewer: Damien Foggon.
255,2009,Beginning Silverlight 3 [electronic resource] : from novice to professional / Robert Lair ; technical reviewer: Fabio Claudio Ferracchiati.
256,2009,iPhone user interface design projects [electronic resource] / David Barnard ... [et al.] ; lead author and technical reviewer: Joachim Bondo.
257,2009,"Beginning smartphone web development [electronic resource] : building JavaScript, CSS, HTML and Ajax-based applications for iPhone, Android, Palm Pre, Blackberry, Windows Mobile and Nokia S60 / Gail Rahn Frederick with Rajesh Lal ; technical reviewers, James Pearce, Rocco Georgi, A. Todd Emerson."
258,2009,"Professional Twitter development with examples in .NET 3.5 [electronic resource] / Daniel Crenna ; technical editor, Jason Diller."
259,2009,"Professional Enterprise .NET [electronic resource] / Jon Arking, Scott Millett ; technical editor, Doug Parsons."
260,2009,"iPhone design [electronic resource] : award-winning projects / Chris Dannen ; technical reviewer, Joachim Bondo."
261,2009,"Beginning Java and Flex [electronic resource] : migrating Java, Spring, Hibernate, and Maven developers to Adobe Flex / Filippo di Pisa ; Bradford Taylor, technical reviewer."
262,2009,"Java FX special effects [electronic resource] : taking Java RIA to the extreme with animation, multimedia, and game elements / Lucas L. Jordan ; technical reviewer, Sten Anderson ; foreword by Ryan Donahue."
263,2009,"Pro Web gadgets [electronic resource] : across iPhone, Android, Windows, Mac, iGoogle and more / Sterling Udell ; technical reviewer, Jeffrey Sambells."
264,2009,"Pro JPA 2 [electronic resource] : mastering the Java Persistence API / Mike Keith and Merrick Schincariol ; technical reviewer, Jim Farley."
265,2009,"Pro Silverlight 3 in C# [electronic resource] / Matthew MacDonald ; technical reviewer, Damien Foggon."
266,2009,"iPhone advanced projects [electronic resource] / Dave Mark, series editor ; Joachim Bondo ... [et al.] ; technical reviewer, Glenn Cole."
267,2009,"iPhone cool projects [electronic resource] / Dave Mark, series editor ; Gary Bennett ... [et al.] ; technical consultant, Glenn Cole."
268,2009,"Pro JavaFX platform [electronic resource] : script, desktop and mobile RIA with Java technology, first edition / James L. Weaver ... [et al.]."
269,2009,"The essential guide to Flash CS4 [electronic resource] / Cheridan Kerr and Jon Keats ; technical reviewer, Leyton Smith."
270,2009,"Beginning Zend Framework [electronic resource] / Armando Padilla ; technical reviewer, Adam DeFields."
271,2009,"Zend Framework 1.8 Web application development [electronic resource] : design, develop, and deploy feature-rich PHP Web applications with this MVC framework / Keith Pope ; reviewers, Wenbert Del Rosario, Md. Mahmud Ahsan."
272,2009,IPhone application development for dummies [electronic resource] / by Neal Goldstein.
273,2009,"Scripting intelligence [electronic resource] : Web 3.0 information gathering and processing / Mark Watson ; technical reviewer, Peter Szinek."
274,2009,"Beginning Java EE 6 platform with GlassFish 3 [electronic resource] : from novice to professional / Antonio Goncalves ; technical reviewer, Jim Farley."
275,2009,"The definitive guide to Lift [electronic resource] : a Scala-based web framework / by Derek Chen-Becker, Marius Danciu, and Tyler Weir."
276,2009,"Pro JavaScript RIA techniques [electronic resource] : best practices, performance, and presentation / Den Odell ; technical reviewer, Kunal Mittal."
277,2009,Developing with Ext GWT [electronic resource] : enterprise RIA development / Grant Slender.
278,2009,Grails persistence with GORM and GSQL [electronic resource] / Robert Fischer.
279,2009,"Pro Flex on Spring [electronic resource] / Chris Giametta ; technical reviewer, Bradford Taylor."
280,2009,"Java and Flex integration bible [electronic resource] / Matthew Keefe and Charles A Christiansen, Jr."
281,2009,"The essential guide to Flash CS4 AIR Development [electronic resource] / Marco Casario with Andrew Shorten, Koen De Weggheleire, and Matteo Ronchi ; technical reviewer, Devon Wolfgang."
282,2009,"Flex 3 component solutions [electronic resource] : build amazing interfaces with Flex components / Jack Herrington ; technical reviewer, Winsha Chen."
283,2009,"Pro Silverlight 2 in C# 2008 [electronic resource] / Matthew MacDonald ; technical reviewer, Fabio Claudio Ferracchiati."
284,2009,Professional Adobe Flex 3 [electronic resource] / Joseph Balderson ... [et al.].
285,2008,SAS/AF 9.2 procedure guide [electronic resource].
286,2008,"Object-oriented JavaScript [electronic resource] : create scalable, reusable high-quality JavaScript applications, and libraries / Stoyan Stefanov ; reviewers, Dan Wellman ... [et al.]."
287,2008,"Building dynamic Web 2.0 websites with Ruby on Rails [electronic resource] : create database-driven dynamic websites with this open-source web application framework / A. P. Rajshekhar ; reviewer, Walt Stoneburner."
288,2008,"ColdFusion 8 developer tutorial [electronic resource] / John Farrar ; reviewers, Rick Mason, Sean Corfield."
289,2008,"Java EE 5 development with NetBeans 6 [electronic resource] : develop professional enterprise Java EE 5 applications quickly and easily with this popular IDE / David R. Heffelfinger ; reviewers, David Salter, Mario Pérez Maduño ; technical editor, Bhupali Khule."
290,2008,"AdvancED Flex 3 [electronic resource] / Shashank Tiwari ... [et al.] ; technical reviewer, Peter Elst."
291,2008,"Pro Java EE Spring patterns [electronic resource] : best practices and design strategies implementing Java EE Patterns with the Spring framework / Dhrubojyoti Kayal ; technical reviewer, Prosenjit Bhattacharyya."
292,2008,Using Rational Performance Tester version 7 [electronic resource] / Ashish Patel ... [et al.].
293,2008,The Remote System Explorer [electronic resource] : modern developer tools for the System i / Don Yantzi & Nazmin Haji.
294,2008,Professional CodeIgniter [electronic resource] / Thomas Myer.
295,2008,Google Guice [electronic resource] : agile lightweight dependency injection framework / by Robbie Vanbrabant.
296,2008,Beginning AIR [electronic resource] : building applications for the Adobe Integrated Runtime / Rich Tretola.
297,2008,"Adobe AIR [electronic resource] : create-modify-reuse / Marc Leuchner, Todd Anderson, Matt Wright."
298,2008,Flex 3 bible [electronic resource] / David Gassner.
299,2008,"Adobe AIR bible [electronic resource] / Benjamin Gorton, Ryan Taylor, Jeff Yamada."
300,2008,"Building a photo gallery with Adobe AIR [electronic resource] / by Todd Anderson ; [technical editor, Ashley Atkins]."
301,2007,Oracle AS 10g forms III [electronic resource] : new features & web deployment / Sideris.
302,2007,"CodeIgniter for rapid PHP application development [electronic resource] : improve your PHP coding productivity with the free compact open-source MVC CodeIgniter framework! / David Upton ; reviewers, Rick Ellis, Derek Allard."
303,2007,"Java EE 5 development using GlassFish Application Server [electronic resource] / David R. Heffelfinger ; reviewers, Meenakshi Verma, Kim Mark Lewis."
304,2007,"Optimizing applications for multi-core processors [electronic resource] : using the Intel Integrated Performance Primitives, second edition / Stewart Taylor."
305,2007,Tuning IBM system X servers for performance [electronic resource] / David Watts  ... [et al.].
306,2007,The IBM rational unified process for System Z [electronic resource] / Cécile Péraire ... [et al.].
307,2007,"Professional Adobe Flex 2 [electronic resource] / Rich Tretola, Simon Barber, Renaun Erickson."
308,2007,"Professional Rich Internet applications [electronic resource] : Ajax and beyond / Dana Moore, Raymond Budd, Edward Benson."
309,2006,"Pro Apache Struts with Ajax [electronic resource] / John Carnell, Rob Harrop, edited by Kunal Mittal."
310,2006,Implementing SAP applications on the IBM System i platform with IBM i5/OS [electronic resource] / Susan Powers ... [et al.].
311,2006,"Pro scalable .NET 2.0 application designs [electronic resource] / Joachim Rossberg, Rickard Redler ; technical reviewer, Jason Lefebvre."
312,2003,.NET Enterprise Development with VB.NET [electronic resource] : from design to deployment / Matthew Reynolds ... [et al.].
313,2005,"Beginning MapServer [electronic resource] : open source GIS development / Bill Kropla ; technical reviewers, Howard Butler, Stephen Lime."
314,2005,Pro ADO.NET 2.0 [electronic resource] / Sahil Malik.
315,2005,Exploring WebSphere Studio enterprise developer V5.1.2 [electronic resource] / Reginaldo Barosa ... [et al.].
316,2002,iSeries and AS/400 Java at work [electronic resource] / edited by Don Denoncourt.
317,2002,"Mastering Visual C#.NET [electronic resource] / Jason Price, Mike Gunderloy."
318,2004,Oracle 10g forms II [electronic resource] : customize internet applications / Sideris.
319,2004,Oracle 10g Forms I [electronic resource] : build Internet applications / Sideris.
320,2004,Intel Integrated Performance Primitives [electronic resource] : how to optimize software applications using Intel IPP / Stewart Taylor.
321,2004,"Pro Jakarta Velocity [electronic resource] : from professional to expert / Rob Harrop ; technical reviewer, Jan Machacek."
322,2004,"Enterprise development with Visual Studio .NET, UML, and MSF [electronic resource] / John Erik Hansen, Carsten Thomsen."
323,2004,"Using IBM WebSphere Host Access Transformation Services V5 [electronic resource] / Byron Braswell, Ming can Jing, Alejandro Saavedra."
324,2004,Using WebSphere Studio Device Developer to build embedded Java applications [electronic resource] / Kevin Gilhooly.
325,2004,"Pattern-oriented software architecture. Volume 3 [electronic resource] : patterns for resource management / Michael Kircher, Prashant Jain."
326,2004,"Overview of WebSphere Studio Application Monitor and Workload Simulator [electronic resource] / Balazs Kalman, Dennis Moore."
327,2004,The J2EE architect's handbook [electronic resource] : how to be a successful technical architect for J2EE applications / Derek C. Ashmore.
328,2004,ColdFusion web development with Macromedia Dreamweaver MX 2004 [electronic resource] / Jen and  Peter Dehaan with  Simon Horwith ... [et al.].
329,2004,"WebSphere for Linux on iSeries [electronic resource]: Implementation Guide / Yessong Johng, Fredy Cruz [and] Akiko Yonemura."
330,2003,WebSphere Studio Application Developer 5.0 [electronic resource] : practical J2EE development / Igor Livshin.
331,2003,Developing .NET enterprise applications [electronic resource] / John Kanalakis.
332,2003,Applied ADO.NET [electronic resource] : building data-driven solutions / Mahesh Chand and David Talbot.
333,2003,ADO 2.6 programmer's reference [electronic resource] / David Sussman.
334,2003,IBM Websphere Application Server [electronic resource] : Express V5.0.2 developer handbook / Carla Sadtler ... [et al.].
335,2003,"Building applications with WebSphere Studio and JavaBeans [electronic resource] : a guided tour / Stephanie Parkin, Colette Burrus."
336,2003,Expert one-on-one J2EE design and development [electronic resource] / Rod Johnson.
337,2003,Wireless game development in C/C++ with BREW [electronic resource] / Ralph Barbagallo.
338,2003,"Deploying solutions with .NET enterprise servers [electronic resource] / Mike Young, Curtis W. Young."
339,2002,".NET enterprise development in C# [electronic resource] : from design to deployment / Matthew Reynolds, Karli Watson ; technical editors, Matt Cumberlidge, Richard Deeson."
340,2002,"Professional C#, second edition [electronic resource] / Simon Robinson ... [et al.]."
341,2002,e-RPG(v2) [electronic resource] : e-volving RPG applications for a connected world / Bradley V. Stone.
342,2002,"Developing web applications with Visual Basic .NET and ASP.NET [electronic resource] / John Alexander, Billy Hollis."
343,2002,"Developing web applications with ASP.NET and C# [electronic resource] / Hank Meyne, Scott Davis."
344,2002,Developing .NET web services with XML [electronic resource] / David Jorgensen.
345,2002,"C# professional projects [electronic resource] / Geetanjali Arora, Balasubramaniam Aiaswamy, Nitin Pandey ; with NIIT."
346,2002,"Microsoft ADO.NET professional projects [electronic resource] / Sanjeev Rohilla, Senthil Nathan, Surbbi Malhotra."
347,2000,"Pattern-oriented software architecture. Volume 2 [electronic resource] : patterns for concurrent and networked objects, volume 2 / Douglas Schmidt ... [et al.]"
348,2000,"LDAP developer's guide [electronic resource] / Roger G. Harrison, Jim Sermersheim, Steve Trottier."
349,2015,"More iPhone development with Swift : exploring the iOS SDK / David Mark [and four others] ; technical reviewer, Ron Natalie."
350,2015,"Swift 2 for absolute beginners / Gary Bennett, Brad Lees ; technical reviewer, Stefan Kaczmarek."
351,1999,Building AS/400 applications with Java [electronic resource] / Bob Maatta ... [et al.]
352,2016,Beginning Hybrid Mobile Application Development / Mahesh Panhale.
353,2015,"Migrating to Swift from web development / Sean Liao, Mark Punak."
354,2015,"Learn Swift on the Mac : for OS X and iOS / Waqar Malik ; technical reviewer, Ron Natalie."
355,2015,"Stripes by example / Brent Watson ; technical reviewer, Justin Lee."
356,2015,Swift for dummies / Jesse Feiler.
357,2015,Beginning Oracle Application Express 5 / Doug Gault.
358,2015,Android Application Development All-in-One for Dummies / Barry Burd.
359,2015,"Using Liberty for devOps, continuous delivery, and deployment / Sebastian Carrizo [and three others]."
360,2015,"Beginning Android / Grant Allen ; technical reviewer, Jon Westfall."
361,2015,"Learn Swift 2 on the Mac / Waqar Malik ; technical reviewer, Felipe Laso Marsetti."
362,2015,"Pivotal certified Spring web application developer exam : a study guide / Iuliana Cosmina ; technical reviewer, Manuel Jordan Elera."
363,2015,Microservices from theory to practice : creating applications in IBM Bluemix using the microservices approach / Shahir Daya [and eleven others].
364,2015,"Learn WatchKit for iOS / Kim Topley ; technical reviewer, Jeff Tang."
365,2014,"Beginning iOS media app development / Ahmed Bakir ; technical reviewer, Gheorghe Chesler."
366,2014,"Pro Spring, fourth edition [electronic resource] / Chris Schaefer, Clarence Ho, Rob Harrop ; technical reviewer, Manuel Jordan Elera."
367,2014,"GUI design for Android apps [electronic resource] / Ryan Cohen, lead project editor ; Tao Wang, lead contributing author ; technical reviewer, Xavier Hallade."
368,2014,"Migrating to Android for iOS developers [electronic resource] / Sean Liao ; technical reviewer, Alex Decker."
369,2014,"Introducing Spring Framework [electronic resource] : a primer / Felipe Gutierrez ; technical reviewer, Rohan Walia."
370,2014,iOS app development for dummies [electronic resource] / Jesse Feiler.
371,2014,PhoneGap build [electronic resource] : developing cross platform mobile applications in the cloud / B.M. Harwani.
372,2014,Building Android Apps in Easy Steps / Mike McGrath.
373,2012,Developing Web applications using JavaServer Pages and Servlets [electronic resource] / Martin Keen ... [et al.].
374,2011,Oracle Database 11g R2 [electronic resource] : SQL Tuning / Sideris.
375,2004,Building business intelligence applications with .NET [electronic resource] / Robert Ericsson.
